idx,연승,마명,산지,성별,연령,중량,기수명,마체중,단승배당,연승배당,grade,length,date,데뷔일자,경주마1등,경주마2등,경주마3등,경주마총전적,경주마3등이내횟수,경주마3등이내확률,기수1등,기수2등,기수3등,기수총전적,기수3등이내횟수,기수3등이내확률,마체중증감,money_log
12226,0,엠제이포인트,0.254200542,0.23702337,0.304899931,52.0,최범현,458,14.0,3.3,혼4등급,1200M,20211030,20010706,0,0,3,10,3,0.3,844,794,711,6749,2349,0.3481,1,19.447782899057586
12227,0,엠제이포인트,0.254200542,0.23702337,0.304899931,52.0,송재철,456,23.7,1.3,혼4등급,1200M,20211017,20130601,0,0,3,9,3,0.3333,223,261,265,2898,749,0.2585,1,19.447782899057586
12228,0,엠제이포인트,0.254200542,0.23702337,0.304899931,52.0,송재철,450,13.9,4.3,혼4등급,1200M,20210905,20130601,0,0,3,8,3,0.375,218,258,259,2837,735,0.2591,0,19.447782899057586
12229,0,엠제이포인트,0.254200542,0.23702337,0.304899931,52.0,송재철,453,113.1,5.4,혼4등급,1400M,20210725,20130601,0,0,3,7,3,0.4286,211,250,255,2789,716,0.2567,0,19.447782899057586
12230,0,엠제이포인트,0.254200542,0.23702337,0.304899931,53.0,함완식,460,12.1,2.3,혼4등급,1400M,20210606,19980615,0,0,3,6,3,0.5,752,770,690,5969,2212,0.3706,1,19.447782899057586
12231,0,엠제이포인트,0.254200542,0.23702337,0.304899931,52.0,함완식,456,20.3,1.7,혼4등급,1200M,20210425,19980615,0,0,3,5,3,0.6,744,763,688,5925,2195,0.3705,1,19.447782899057586
12232,0,엠제이포인트,0.254200542,0.23702337,0.304899931,52.0,이기회,451,41.5,3.4,혼4등급,1200M,20210307,20040602,0,0,3,4,3,0.75,118,157,192,3320,467,0.1407,1,19.447782899057586
12233,1,엠제이포인트,0.254200542,0.23702337,0.304899931,51.5,이기회,448,9999.9,9999.9,혼4등급,1200M,20210115,20040602,0,0,2,3,2,0.6667,118,157,191,3314,466,0.1406,-1,19.447782899057586
12234,1,엠제이포인트,0.254200542,0.23702337,0.275362319,51.0,이기회,459,23.2,3.4,혼4등급,1200M,20201129,20040602,0,0,1,2,1,0.5,118,157,190,3304,465,0.1407,-1,19.447782899057586
12235,0,여걸비전,0.260997247,0.23702337,0.203189604,51.0,다비드,478,9999.9,9999.9,국4등급,1400M,20210904,20171201,3,1,3,18,7,0.3889,95,126,114,1386,335,0.2417,1,21.75161416091648
