idx,연승,마명,산지,성별,연령,중량,기수명,마체중,단승,연승,grade,length,date,데뷔일자,경주마1등,경주마2등,경주마3등,경주마총전적,경주마3등이내횟수,경주마3등이내확률,기수1등,기수2등,기수3등,기수총전적,기수3등이내횟수,기수3등이내확률,마체중증감,money
6566,0,문학럭키,미,거,2세,53,다비드,437,50.9,13.4,혼4등급,1200M,20201206,2017-12-01,0,0,0,2,0,0,88,106,95,1153,289,0.2507,-1,1959975975
6567,0,문학럭키,미,거,2세,53,임기원,449,24.8,4,혼4등급,1200M,20201016,2013-06-19,0,0,0,1,0,0,320,241,268,2371,829,0.3496,1,1959975975
6568,0,문학리워드,미,암,4세,54,신형철,437,27.4,4.8,혼4등급,1700M,20210530,1988-04-01,0,2,1,10,3,0.3,755,796,742,7225,2293,0.3174,0,629058590
6569,0,문학리워드,미,암,4세,54.5,신형철,444,148.3,7.7,혼4등급,1200M,20210425,1988-04-01,0,2,1,9,3,0.3333,753,796,740,7207,2289,0.3176,0,629058590
6570,0,문학리워드,미,암,4세,55,최범현,445,53.6,9.8,혼4등급,1200M,20210221,2001-07-06,0,2,1,8,3,0.375,817,764,695,6556,2276,0.3472,0,629058590
6571,0,문학리워드,미,암,3세,54,최범현,448,14.3,3.1,혼4등급,1400M,20201205,2001-07-06,0,2,1,7,3,0.4286,814,756,690,6512,2260,0.3471,1,629058590
6572,0,문학리워드,미,암,3세,54,이혁,446,17.6,6.7,혼4등급,1400M,20201016,2011-08-24,0,2,1,6,3,0.5,321,291,289,3711,901,0.2428,1,629058590
6573,1,문학문,미,수,4세,58,안토니오,502,4.4,1.9,혼3등급,1800M,20220924,2017-05-06,2,3,3,19,8,0.4211,285,271,211,2085,767,0.3679,1,463675656
6574,0,문학문,미,수,4세,57.5,안토니오,492,6.8,2.5,혼3등급,1600M,20220821,2017-05-06,2,3,3,18,8,0.4444,284,267,209,2064,760,0.3682,1,463675656
6575,1,문학문,미,수,4세,55,안토니오,483,21,3.8,혼3등급,1700M,20220619,2017-05-06,2,2,3,17,7,0.4118,283,260,204,2031,747,0.3678,1,463675656
6576,0,문학문,미,수,4세,57,최범현,479,16.8,4.3,혼3등급,1800M,20220605,2001-07-06,2,2,3,16,7,0.4375,864,816,730,6918,2410,0.3484,-1,463675656
6577,1,문학문,미,수,4세,56,최범현,490,17.8,3.7,혼3등급,1700M,20220514,2001-07-06,2,1,3,15,6,0.4,864,814,730,6909,2408,0.3485,1,463675656
6578,0,문학문,미,수,4세,54.5,최범현,487,26.9,4.4,혼3등급,1400M,20220409,2001-07-06,2,1,3,14,6,0.4286,858,813,727,6888,2398,0.3481,0,463675656
6579,0,문학문,미,수,4세,56,유승완,488,21.8,5.2,혼3등급,1400M,20220227,2007-06-01,2,1,3,13,6,0.4615,409,364,433,4725,1206,0.2552,0,463675656
6580,0,문학문,미,수,4세,55.5,유승완,493,50.8,4.9,혼3등급,1200M,20220130,2007-06-01,2,1,3,12,6,0.5,406,362,429,4688,1197,0.2553,0,463675656
6581,0,문학문,미,수,3세,57,박을운,495,41.6,13.8,혼3등급,1800M,20211219,1998-06-15,2,1,3,11,6,0.5455,435,422,370,3698,1227,0.3318,0,463675656
6582,0,문학문,미,수,3세,57,빅투아르,497,18.8,1.9,혼3등급,1800M,20211120,2017-07-05,2,1,3,10,6,0.6,162,175,177,1602,514,0.3208,1,463675656
6583,1,문학문,미,수,3세,55,빅투아르,496,9.8,2.9,혼3등급,1400M,20211016,2017-07-05,2,1,2,9,5,0.5556,162,171,173,1567,506,0.3229,1,463675656
6584,1,문학문,미,수,3세,54,빅투아르,489,12.4,2.1,혼3등급,1400M,20210905,2017-07-05,2,1,1,8,4,0.5,159,167,170,1532,496,0.3238,0,463675656
6585,0,문학문,미,수,3세,54,빅투아르,498,4.7,2.3,혼3등급,1400M,20210807,2017-07-05,2,1,1,7,4,0.5714,158,160,168,1502,486,0.3236,1,463675656
6586,1,문학문,미,수,3세,57.5,문세영,483,2.4,1.2,혼4등급,1400M,20210711,2001-07-06,1,1,1,6,3,0.5,1700,1283,983,8179,3966,0.4849,0,463675656
6587,0,문학문,미,수,3세,57.5,박을운,487,15.2,3.7,혼4등급,1200M,20210529,1998-06-15,1,1,1,5,3,0.6,419,407,352,3528,1178,0.3339,0,463675656
6588,1,문학문,미,수,3세,55,문세영,488,3.7,1,혼4등급,1200M,20210417,2001-07-06,0,1,1,4,2,0.5,1678,1272,973,8098,3923,0.4844,0,463675656
6589,0,문학문,미,수,3세,55.5,먼로,489,7.5,1.7,혼4등급,1200M,20210228,2019-02-01,0,1,1,3,2,0.6667,79,93,80,674,252,0.3739,1,463675656
6590,0,문학미스치프,미,암,4세,52,김동수,501,26.6,9.5,혼3등급,1400M,20210424,2014-06-05,2,0,1,5,3,0.6,249,266,288,2716,803,0.2957,0,347312480
6591,0,문학백투백,미,수,3세,52,김동수,592,88.7,30,혼4등급,1200M,20211212,2014-06-05,0,0,0,7,0,0,263,281,303,2908,847,0.2913,1,462355231
6592,0,문학백투백,미,수,3세,54,먼로,577,9999.9,9999.9,혼4등급,1400M,20210904,2019-02-01,0,0,0,6,0,0,95,109,96,835,300,0.3593,1,462355231
6593,0,문학백투백,미,수,3세,52,김동수,562,12.2,2.6,혼4등급,1200M,20210605,2014-06-05,0,0,0,5,0,0,251,267,290,2750,808,0.2938,0,462355231
6594,0,문학백투백,미,수,3세,52,김동수,562,380.4,6.2,혼4등급,1400M,20210502,2014-06-05,0,0,0,4,0,0,249,266,289,2729,804,0.2946,0,462355231
6595,0,문학백투백,미,수,3세,52,김동수,562,1315.4,11.4,혼4등급,1200M,20210307,2014-06-05,0,0,0,3,0,0,248,263,285,2677,796,0.2973,0,462355231
6596,0,문학백투백,미,수,3세,53.5,신형철,564,9999.9,9999.9,혼4등급,1200M,20210115,1988-04-01,0,0,0,2,0,0,749,794,737,7159,2280,0.3185,1,462355231
6597,0,문학백투백,미,수,2세,53,박을운,551,17.4,10.4,혼4등급,1200M,20201101,1998-06-15,0,0,0,1,0,0,408,390,339,3367,1137,0.3377,1,462355231
6598,1,문학보스,미,거,5세,53.5,김정준,465,40.8,4.1,2등급,1600M,20220731,2010-06-09,3,1,3,22,7,0.3182,186,234,237,3025,657,0.2172,0,452540460
6599,0,문학보스,미,거,5세,53,김정준,468,71.5,15.5,2등급,1200M,20220618,2010-06-09,3,1,3,21,7,0.3333,181,229,233,2973,643,0.2163,1,452540460
6600,0,문학보스,미,거,5세,53.5,박태종,467,34.2,7.5,2등급,1400M,20220423,1987-04-01,3,1,3,20,7,0.35,2178,2009,1702,14981,5889,0.3931,1,452540460
6601,0,문학보스,미,거,5세,53.5,김정준,466,114.9,5.3,2등급,1200M,20220226,2010-06-09,3,1,3,19,7,0.3684,176,219,225,2845,620,0.2179,0,452540460
6602,0,문학보스,미,거,5세,53,김정준,466,76.4,13.3,2등급,1200M,20220116,2010-06-09,3,1,3,18,7,0.3889,171,216,220,2791,607,0.2175,0,452540460
6603,1,문학보스,미,거,4세,57,문세영,467,8.9,2.2,혼3등급,1400M,20211127,2001-07-06,2,1,3,17,6,0.3529,1731,1292,984,8251,4007,0.4856,1,452540460
6604,0,문학보스,미,거,4세,57,함완식,464,23.9,3.1,혼3등급,1400M,20211016,1998-06-15,2,1,3,16,6,0.375,766,782,708,6051,2256,0.3728,1,452540460
6605,1,문학보스,미,거,4세,57,함완식,460,9999.9,9999.9,혼3등급,1400M,20210905,1998-06-15,2,1,2,15,5,0.3333,763,779,704,6026,2246,0.3727,1,452540460
6606,1,문학보스,미,거,4세,56.5,함완식,452,93.6,8.1,혼3등급,1200M,20210718,1998-06-15,2,1,1,14,4,0.2857,755,773,696,5992,2224,0.3712,-1,452540460
6607,0,문학보스,미,수,4세,55,임다빈,469,10.4,3.1,혼3등급,1400M,20210502,2020-07-17,2,1,1,13,4,0.3077,23,17,20,245,60,0.2449,0,452540460
6608,0,문학보스,미,수,4세,57,최범현,479,51,7.6,혼3등급,1400M,20210328,2001-07-06,2,1,1,12,4,0.3333,820,767,696,6587,2283,0.3466,1,452540460
6609,0,문학보스,미,수,4세,57,최범현,477,4.8,2.1,혼3등급,1400M,20210115,2001-07-06,2,1,1,11,4,0.3636,814,759,691,6527,2264,0.3469,0,452540460
6610,1,문학보스,미,수,3세,52,최범현,483,29.7,7.4,혼3등급,1400M,20201121,2001-07-06,1,1,1,10,3,0.3,808,753,689,6496,2250,0.3464,1,452540460
6611,0,문학서브,미,거,4세,54,함완식,524,19.7,4,혼4등급,1700M,20211211,1998-06-15,0,1,0,8,1,0.125,773,787,711,6092,2271,0.3728,1,670967831
6612,0,문학서브,미,거,4세,54,최범현,520,66.8,11.5,혼4등급,1700M,20211002,2001-07-06,0,1,0,7,1,0.1429,842,788,711,6730,2341,0.3478,1,670967831
6613,0,문학서브,미,거,4세,52.5,이혁,506,34,6,혼4등급,1200M,20210724,2011-08-24,0,1,0,6,1,0.1667,352,315,326,3996,993,0.2485,0,670967831
6614,0,문학서브,미,거,4세,53,함완식,514,67.1,5.4,혼4등급,1400M,20210515,1998-06-15,0,1,0,5,1,0.2,745,764,688,5943,2197,0.3697,0,670967831
6615,0,문학서브,미,거,3세,55,신형철,515,9999.9,9999.9,혼4등급,1400M,20201219,1988-04-01,0,1,0,4,1,0.25,748,792,735,7142,2275,0.3185,1,670967831
6616,1,문학서브,미,거,3세,54,신형철,508,13.6,2.8,혼4등급,1200M,20201107,1988-04-01,0,0,0,3,0,0,743,786,735,7102,2264,0.3188,0,670967831
6617,1,문학선,미,수,4세,54,빅투아르,589,3.8,1.6,혼3등급,1400M,20220417,2017-07-05,2,1,1,10,4,0.4,176,190,191,1727,557,0.3225,0,462579180
6618,1,문학선,미,수,4세,56,빅투아르,592,7.2,2.3,혼3등급,1400M,20220320,2017-07-05,2,0,1,9,3,0.3333,170,185,189,1692,544,0.3215,1,462579180
6619,1,문학선,미,수,4세,56,빅투아르,589,50.2,6.3,혼3등급,1400M,20220227,2017-07-05,2,0,0,8,2,0.25,169,181,185,1671,535,0.3202,0,462579180
6620,0,문학선,미,수,4세,52,이현종,592,17.5,6.1,혼3등급,1400M,20220115,2015-06-18,2,0,0,7,2,0.2857,183,152,170,1478,505,0.3417,0,462579180
6621,0,문학선,미,수,3세,52,빅투아르,598,17.4,3,혼3등급,1400M,20211212,2017-07-05,2,0,0,6,2,0.3333,168,176,180,1640,524,0.3195,1,462579180
6622,0,문학선,미,수,3세,54,빅투아르,594,36.5,4,혼3등급,1800M,20211024,2017-07-05,2,0,0,5,2,0.4,162,174,174,1579,510,0.323,1,462579180
6623,0,문학선,미,수,3세,54,먼로,593,3.4,1.4,혼3등급,1400M,20210919,2019-02-01,2,0,0,4,2,0.5,99,113,98,855,310,0.3626,0,462579180
6624,0,문학선,미,수,3세,52,먼로,593,3.4,1.6,혼3등급,1800M,20210725,2019-02-01,2,0,0,3,2,0.6667,93,104,93,803,290,0.3611,1,462579180
6625,1,문학선,미,수,3세,54,먼로,587,1.6,1,혼4등급,1400M,20210619,2019-02-01,1,0,0,2,1,0.5,84,102,90,763,276,0.3617,0,462579180
6626,1,문학선,미,수,3세,52,먼로,587,28.9,1.8,혼4등급,1400M,20210522,2019-02-01,0,0,0,1,0,0,83,98,90,754,271,0.3594,1,462579180
6627,0,문학선,미,수,2세,53,김동수,565,9999.9,9999.9,혼4등급,1200M,20201212,2014-06-05,0,0,0,0,0,0,245,259,284,2625,788,0.3002,0,462579180
6628,0,문학스카이,미,수,4세,53,김동수,501,538.6,19,혼4등급,1400M,20210502,2014-06-05,0,1,0,6,1,0.1667,249,266,289,2727,804,0.2948,1,402990205.5
6629,0,문학스카이,미,수,4세,54.5,먼로,499,20.8,4.7,혼4등급,1200M,20210321,2019-02-01,0,1,0,5,1,0.2,79,93,83,695,255,0.3669,1,402990205.5
6630,0,문학스카이,미,수,4세,55,김동수,494,9999.9,2.3,혼4등급,1700M,20210129,2014-06-05,0,1,0,4,1,0.25,245,260,284,2646,789,0.2982,0,402990205.5
6631,0,문학스톰,미,수,3세,53,장추열,520,4.3,1.7,혼4등급,1200M,20220918,2010-06-09,0,1,1,7,2,0.2857,360,380,389,3600,1129,0.3136,0,1093015200
6632,0,문학스톰,미,수,3세,53.5,장추열,524,4.9,1.7,혼4등급,1200M,20220820,2010-06-09,0,1,1,6,2,0.3333,357,375,385,3564,1117,0.3134,0,1093015200
6633,1,문학스톰,미,수,3세,53.5,임다빈,529,2.7,1.5,혼4등급,1200M,20220710,2020-07-17,0,1,0,5,1,0.2,55,57,62,747,174,0.2329,1,1093015200
6634,1,문학스톰,미,수,3세,52,임다빈,526,3,1.4,혼4등급,1200M,20220605,2020-07-17,0,0,0,4,0,0,51,54,56,706,161,0.228,0,1093015200
6635,0,문학스톰,미,수,3세,52,김동수,530,10.6,2.8,혼4등급,1200M,20220423,2014-06-05,0,0,0,3,0,0,266,292,313,2987,871,0.2916,1,1093015200
6636,0,문학스톰,미,수,3세,54,장추열,508,16.2,5.1,혼4등급,1400M,20220219,2010-06-09,0,0,0,2,0,0,330,341,365,3356,1036,0.3087,-1,1093015200
6637,0,문학스톰,미,수,2세,52,박태종,520,9.2,2.9,혼4등급,1200M,20211212,1987-04-01,0,0,0,1,0,0,2168,2001,1697,14920,5866,0.3932,0,1093015200
6638,0,문학스톰,미,수,2세,52,장추열,530,19.6,3.2,혼4등급,1200M,20211017,2010-06-09,0,0,0,0,0,0,313,326,347,3188,986,0.3093,0,1093015200
6639,0,문학스트롱,미,수,3세,55,이혁,431,5.4,2.4,혼4등급,1400M,20220702,2011-08-24,0,1,1,7,2,0.2857,396,353,354,4324,1103,0.2551,0,376888836
6640,1,문학스트롱,미,수,3세,52.5,이혁,433,9.2,2,혼4등급,1400M,20220522,2011-08-24,0,0,1,6,1,0.1667,390,350,349,4288,1089,0.254,-1,376888836
6641,0,문학스트롱,미,수,3세,53,빅투아르,444,4.8,1.7,혼4등급,1400M,20220416,2017-07-05,0,0,1,5,1,0.2,176,190,191,1723,557,0.3233,1,376888836
6642,1,문학스트롱,미,수,3세,54,빅투아르,441,41.4,5.5,혼4등급,1200M,20220305,2017-07-05,0,0,0,4,0,0,169,181,186,1676,536,0.3198,1,376888836
6643,0,문학스트롱,미,수,3세,52,이혁,440,36.9,5.9,혼4등급,1400M,20220116,2011-08-24,0,0,0,3,0,0,368,330,336,4127,1034,0.2505,1,376888836
6644,0,문학스트롱,미,수,2세,51.5,이철경,437,30.5,5.9,혼4등급,1200M,20211212,2016-06-18,0,0,0,2,0,0,85,95,87,1080,267,0.2472,-1,376888836
6645,0,문학스트롱,미,수,2세,51,이철경,457,72.8,10.8,혼4등급,1200M,20211107,2016-06-18,0,0,0,1,0,0,82,92,85,1051,259,0.2464,1,376888836
6646,0,문학스트롱,미,수,2세,52,이혁,441,39.3,8.7,혼4등급,1200M,20210918,2011-08-24,0,0,0,0,0,0,360,320,332,4059,1012,0.2493,1,376888836
6647,0,문학슬루,미,수,3세,52.5,유승완,477,295.7,8.5,혼4등급,1200M,20210403,2007-06-01,0,0,0,1,0,0,379,335,400,4396,1114,0.2534,0,416998343
6648,0,문학슬루,미,수,3세,53.5,박태종,479,9999.9,9999.9,혼4등급,1200M,20210115,1987-04-01,0,0,0,0,0,0,2139,1983,1669,14691,5791,0.3942,1,416998343
6649,0,문학시바,캐,수,4세,53.5,박태종,496,7.3,2.3,혼3등급,1400M,20220917,1987-04-01,2,0,1,4,3,0.75,2190,2026,1718,15133,5934,0.3921,-1,2540924561
6650,1,문학시바,캐,수,4세,52,이혁,517,2,1.3,혼3등급,1200M,20220702,2011-08-24,2,0,0,3,2,0.6667,396,353,355,4326,1104,0.2552,1,2540924561
6651,1,문학시바,캐,수,4세,56,이혁,515,3.6,1.8,혼4등급,1200M,20220521,2011-08-24,1,0,0,2,1,0.5,389,350,348,4282,1087,0.2539,1,2540924561
6652,1,문학시바,캐,수,3세,52.5,이혁,496,12,2.2,혼4등급,1200M,20210307,2011-08-24,0,0,0,1,0,0,333,301,308,3847,942,0.2449,0,2540924561
6653,0,문학시바,캐,수,3세,53.5,이혁,497,12,3.5,혼4등급,1200M,20210108,2011-08-24,0,0,0,0,0,0,326,297,304,3796,927,0.2442,1,2540924561
6654,0,문학쓰나미,미,수,6세,51,임다빈,503,212,17.6,1등급,1800M,20220213,2020-07-17,4,3,4,25,11,0.44,39,41,45,552,125,0.2264,1,666808783
6655,0,문학쓰나미,미,수,5세,52,이철경,493,85.4,14.9,1등급,1400M,20211205,2016-06-18,4,3,4,24,11,0.4583,85,95,87,1075,267,0.2484,1,666808783
6656,0,문학쓰나미,미,수,5세,54,다비드,490,267.5,16.4,1등급,1400M,20211017,2017-12-01,4,3,4,23,11,0.4783,101,130,119,1429,350,0.2449,1,666808783
6657,0,문학쓰나미,미,수,5세,51,임다빈,486,9999.9,9999.9,1등급,1400M,20210815,2020-07-17,4,3,4,22,11,0.5,30,28,30,350,88,0.2514,0,666808783
6658,1,문학쓰나미,미,수,5세,52,장추열,488,1716.8,35,1등급,1200M,20210627,2010-06-09,4,3,3,21,10,0.4762,297,315,335,3089,947,0.3066,0,666808783
6659,0,문학쓰나미,미,수,5세,51,임다빈,496,60.5,10.5,1등급,1200M,20210516,2020-07-17,4,3,3,20,10,0.5,23,17,22,253,62,0.2451,0,666808783
6660,0,문학쓰나미,미,수,5세,52,이혁,503,65,9.6,1등급,1400M,20210307,2011-08-24,4,3,3,19,10,0.5263,334,301,308,3848,943,0.2451,1,666808783
6661,0,문학쓰나미,미,수,5세,52,장추열,501,9999.9,9999.9,1등급,1200M,20210115,2010-06-09,4,3,3,18,10,0.5556,282,303,319,2949,904,0.3065,1,666808783
6662,1,문학쓰나미,미,수,4세,52,이혁,499,18.7,5.8,1등급,1400M,20201122,2011-08-24,4,3,2,17,9,0.5294,324,294,299,3759,917,0.2439,0,666808783
6663,0,문학아리아리,미,수,5세,57.5,이혁,493,74.3,2.2,2등급,1200M,20210418,2011-08-24,4,1,3,16,8,0.5,339,309,314,3903,962,0.2465,0,672844928.5
6664,0,문학아리아리,미,수,5세,57.5,함완식,500,84.8,12.2,2등급,1400M,20210221,1998-06-15,4,1,3,15,8,0.5333,738,750,679,5866,2167,0.3694,1,672844928.5
6665,0,문학아리아리,미,수,4세,57.5,이혁,484,7,2.6,2등급,1400M,20201107,2011-08-24,4,1,3,14,8,0.5714,322,292,292,3733,906,0.2427,-1,672844928.5
6666,0,문학앙코르,미,수,4세,54,김정준,547,53.1,14.3,혼3등급,1800M,20220924,2010-06-09,1,2,1,19,4,0.2105,187,238,241,3072,666,0.2168,1,465702246.5
6667,0,문학앙코르,미,수,4세,52,임다빈,525,36.7,7.2,혼3등급,1700M,20220619,2020-07-17,1,2,1,18,4,0.2222,55,57,57,732,169,0.2309,0,465702246.5
6668,0,문학앙코르,미,수,4세,54,임다빈,525,5.9,2.3,혼3등급,1800M,20220508,2020-07-17,1,2,1,17,4,0.2353,48,49,54,660,151,0.2288,0,465702246.5
6669,0,문학앙코르,미,수,4세,56,임다빈,530,5.1,2.1,혼3등급,1400M,20220320,2020-07-17,1,2,1,16,4,0.25,47,43,51,612,141,0.2304,1,465702246.5
6670,1,문학앙코르,미,수,4세,57,임다빈,526,11,4.6,혼4등급,1800M,20220129,2020-07-17,1,1,1,15,3,0.2,39,38,44,537,121,0.2253,1,465702246.5
6671,0,문학앙코르,미,수,3세,57,임다빈,524,6.7,2.1,혼4등급,1800M,20211226,2020-07-17,1,1,1,14,3,0.2143,37,35,40,487,112,0.23,0,465702246.5
6672,1,문학앙코르,미,수,3세,53,임다빈,525,9.3,2.2,혼4등급,1700M,20211204,2020-07-17,0,1,1,13,2,0.1538,34,34,39,457,107,0.2341,0,465702246.5
6673,0,문학앙코르,미,수,3세,51.5,임다빈,527,18.1,3.1,혼4등급,1400M,20211010,2020-07-17,0,1,1,12,2,0.1667,33,30,35,412,98,0.2379,1,465702246.5
6674,0,문학앙코르,미,수,3세,55,장추열,517,9999.9,9999.9,혼4등급,1700M,20210821,2010-06-09,0,1,1,11,2,0.1818,308,318,342,3140,968,0.3083,0,465702246.5
6675,0,문학앙코르,미,수,3세,55,장추열,526,3,1.3,혼4등급,1700M,20210717,2010-06-09,0,1,1,10,2,0.2,303,317,338,3112,958,0.3078,1,465702246.5
6676,1,문학앙코르,미,수,3세,55,장추열,514,24.6,1.4,혼4등급,1700M,20210612,2010-06-09,0,1,0,9,1,0.1111,296,313,332,3069,941,0.3066,-1,465702246.5
6677,1,문학앙코르,미,수,3세,54,장추열,525,62.9,14.1,혼4등급,1700M,20210508,2010-06-09,0,0,0,8,0,0,291,309,329,3037,929,0.3059,0,465702246.5
6678,0,문학앙코르,미,수,3세,51.5,박태종,527,115.3,11.6,혼4등급,1400M,20210328,1987-04-01,0,0,0,7,0,0,2144,1986,1679,14752,5809,0.3938,0,465702246.5
6679,0,문학앙코르,미,수,3세,53.5,장추열,527,9999.9,9999.9,혼4등급,1400M,20210205,2010-06-09,0,0,0,6,0,0,284,305,321,2968,910,0.3066,-1,465702246.5
6680,0,문학앙코르,미,수,2세,53,장추열,542,9999.9,9999.9,혼4등급,1400M,20201219,2010-06-09,0,0,0,5,0,0,280,303,318,2932,901,0.3073,1,465702246.5
6681,0,문학앙코르,미,수,2세,53,장추열,531,20,2.4,혼4등급,1300M,20201108,2010-06-09,0,0,0,4,0,0,274,297,315,2895,886,0.306,1,465702246.5
6682,0,문학어플리트,미,수,2세,52,임다빈,466,53.6,17.3,혼4등급,1200M,20220918,2020-07-17,0,0,0,0,0,0,60,61,72,801,193,0.2409,0,1614860519
6683,0,문학에카티,미,거,5세,55,임다빈,510,105.7,19.6,혼3등급,1800M,20220828,2020-07-17,2,1,4,23,7,0.3043,58,61,69,788,188,0.2386,0,727057389
6684,0,문학에카티,미,수,5세,54,임다빈,517,28.5,5,혼3등급,1400M,20220618,2020-07-17,2,1,4,22,7,0.3182,54,57,56,726,167,0.23,1,727057389
